date,PRCP,TMAX,TMIN
2022-11-08,0.0,14.4,8.3
2022-11-09,0.0,12.2,5.0
2022-11-10,0.0,19.4,8.9
2022-11-11,31.2,20.6,13.9
2022-11-12,2.3,20.6,16.1
2022-11-13,0.5,16.7,6.1
2022-11-14,0.0,7.8,3.3
2022-11-15,12.4,8.9,2.2
2022-11-16,5.1,10.6,3.9
2022-11-17,0.0,8.3,3.9
2022-11-18,0.0,6.7,2.2
2022-11-19,0.0,5.0,0.0
2022-11-20,0.0,4.4,-0.5
2022-11-21,0.0,5.6,-1.6
2022-11-22,0.0,10.6,3.9
2022-11-23,0.0,12.8,6.1
2022-11-24,0.0,11.7,5.0
2022-11-25,0.0,13.3,8.3
2022-11-26,0.0,13.9,6.7
2022-11-27,13.7,16.1,9.4
2022-11-28,0.0,13.3,5.6
2022-11-29,0.0,6.7,3.3
2022-11-30,10.9,15.0,3.9
2022-12-01,0.0,6.7,2.2
2022-12-02,0.0,7.2,1.1
2022-12-03,10.4,15.0,7.2
2022-12-04,0.0,7.8,3.9
2022-12-05,0.0,8.3,2.2
2022-12-06,19.8,15.6,5.0
2022-12-07,9.1,15.0,12.8
2022-12-08,0.0,13.3,5.6
2022-12-09,0.0,7.2,2.2
2022-12-10,0.0,3.9,-0.5
2022-12-11,6.4,5.0,0.6
2022-12-12,0.0,3.3,-1.0
2022-12-13,0.0,5.0,-2.7
2022-12-14,0.0,4.4,0.0
2022-12-15,15.0,6.7,0.6
2022-12-16,13.7,8.3,3.9
2022-12-17,0.0,7.2,2.8
2022-12-18,0.0,4.4,1.1
2022-12-19,0.0,3.9,0.0
2022-12-20,0.0,4.4,0.0
2022-12-21,0.0,5.0,-1.6
2022-12-22,5.3,8.3,1.1
2022-12-23,24.1,15.0,-12.7
2022-12-24,0.0,-8.8,-13.8
2022-12-25,0.0,-2.1,-9.3
2022-12-26,0.0,-1.0,-7.1
2022-12-27,0.0,1.7,-1.6
2022-12-28,0.0,8.3,0.6
2022-12-29,0.0,10.6,3.3
2022-12-30,0.0,15.6,3.3
2022-12-31,7.9,12.8,5.6
